"Title","Year","Category","Format","Version","Studio","Duration","Remark","만든 날짜","Lable","Included","NEW","TrailerLink","Note"
"Novocaine ","2025","TLR","4DX","1","Paramount",,,"2025-06-11 오후 6:53",,,,,
"Mickey 17 ","2025","TLR","4DX","F5/2","Warner",,,"2025-06-11 오후 6:53",,,,,
"Snow White ","2025","TLR","4DX","B","Disney",,,"2025-06-11 오후 6:53",,,,,
"Novocaine ","2025","TLR","4DX","4DX Bumper","Paramount",,,"2025-06-11 오후 6:53",,,,,
"Pabrik Gula ","2025","TLR","4DX",,"Local-Indonesia",,,"2025-06-11 오후 6:53",,,,,
"Jurassic World Rebirth","2025","TLR","4DX","A/1","Universal",,,"2025-06-11 오후 6:53",,,,,
"How to Train Your Dragon","2025","TLR","4DX","B/2","Universal",,,"2025-06-11 오후 6:53",,,,,
"How to Train Your Dragon","2025","TLR","4DX","4DX Bumper","Universal",,,"2025-06-11 오후 6:53",,,,,
"Thunderbolts*","2025","TLR","4DX","F/5","Disney",,,"2025-06-11 오후 6:53",,,,,
"The Fantastic Four: First Steps ","2025","TLR","4DX","A/1","Disney",,,"2025-06-11 오후 6:53",,,,"https://www.imdb.com/video/vi18467097",
"Lilo & Stitch ","2025","TLR","4DX","C/3","Disney",,,"2025-06-11 오후 6:53",,,,,
"Elio ","2025","TLR","4DX","F/3","Disney",,,"2025-06-11 오후 6:53",,,,,
"Mission: Impossible - The Final Reckoning","2025","TLR","4DX","B/3","Paramount",,,"2025-06-11 오후 6:53",,,,,
"F1: The Movie","2025","TLR","4DX","F2/2","Warner",,,"2025-06-11 오후 6:53",,,,,
"Tron: Ares","2025","TLR","4DX","A/1","Disney","1min 35sec",,"2025-06-11 오후 6:53",,,,"https://www.imdb.com/video/vi776259865",
"The Fantastic Four: First Steps ","2025","TLR","4DX","B/K/2","Disney",,,"2025-06-11 오후 6:53",,,,,
"The Fantastic Four: First Steps ","2025","TLR","4DX","D/3","Disney",,,"2025-06-11 오후 6:53",,,,"https://www.imdb.com/video/vi2494679065
",
"How to Train Your Dragon","2025","TLR","4DX","SX Bumper","Universal",,,"2025-06-11 오후 6:53",,,,,
"28 Years Later ","2025","TLR","4DX","E/3","Sony",,,"2025-06-11 오후 6:53",,,,,
"Superman (2025)","2025","TLR","4DX","F4","Warner",,,"2025-06-11 오후 6:53",,,,,
"Superman (2025)","2025","TLR","4DX","F5","Warner",,,"2025-06-11 오후 6:53",,,,,
"Jurassic World Rebirth","2025","TLR","4DX","4DX Bumper/4","Universal",,,"2025-06-11 오후 6:53",,,,,
"Jurassic World Rebirth ","2025","TLR","4DX","D/3","Universal",,,"2025-06-11 오후 6:53",,,,,
"(G) IDLE","2024","TLR","SX","1","Local-Korea","1min 2sec",,"2025-06-11 오후 6:53",,,,,
"Captain America: Brave New World","2024","TLR","SX","X","Disney","2min 27sec",,"2025-06-11 오후 6:53",,,,,
"Captain America: Brave New World","2024","TLR","SX","E","Disney","2min 27sec",,"2025-06-11 오후 6:53",,,,,
"Mickey 17","2024","TLR","SX","F5","WB","2min 24sec","ONLY FLAT","2025-06-11 오후 6:53",,,,,
"Snow White","2025","TLR","SX","H","Disney","2min 25sec",,"2025-06-11 오후 6:53",,,,,
"Minecraft","2025","TLR","SX","F3","WB","2min 25sec","ONLY FLAT","2025-06-11 오후 6:53",,,,,
"Thunderbolts*","2025","TLR","SX","F/T","Disney"," 2min 25sec",,"2025-06-11 오후 6:53",,,,,
"How to Train Your Dragon","2025","TLR","SX","B","Universal","2min 20sec",,"2025-06-11 오후 6:53",,,,,
"Mission: Impossible - The Final Reckoning","2025","TLR","SX","B/3","Paramount","2min 18sec",,"2025-06-11 오후 6:53",,,,,
"How to Train Your Dragon","2025","TLR","SX","G","Universal","1min 1sec",,"2025-06-11 오후 6:53",,,,,
"Jurassic World Rebirth","2025","TLR","SX","A","Universal","2min 25sec",,"2025-06-11 오후 6:53",,,,"https://www.imdb.com/video/vi3122317593",
"How to Train Your Dragon","2025","TLR","SX","Sneakpeek","Universal","3min",,"2025-06-11 오후 6:53",,,,,
